type, name, count
Attribute Count, ∑ Total, 100
Attribute Count, 3, 23
Attribute Count, 2, 74
Attribute Count, 4, 2
Attribute Count, 5, 1
Fur, ∑ Total, 99
Fur, Red Fur, 19
Fur, Black and Tan Fur, 19
Fur, Meme Fur, 22
Fur, Cream Fur, 20
Fur, Sesame Fur, 19
Hat, ∑ Total, 50
Hat, Pink Party Hat, 7
Hat, Orange Cap, 5
Hat, Blue Party Hat, 5
Hat, Pink Cap, 5
Hat, White Cap, 5
Hat, Green Party Hat, 6
Hat, Black Cap, 6
Hat, Green Cap, 5
Hat, Blue Cap, 6
Expression, ∑ Total, 24
Expression, Smiley, 2
Expression, Tongue Out, 7
Expression, Cream Fur, 1
Expression, Laughing, 6
Expression, Sad, 2
Expression, Pouty, 2
Expression, Sleepy, 2
Expression, Shocked, 2
Glasses, ∑ Total, 30
Glasses, Teal Glasses, 7
Glasses, Maroon Glasses, 6
Glasses, Sunglasses, 5
Glasses, Black Glasses, 6
Glasses, Blue Glasses, 6
Accessories, ∑ Total, 11
Accessories, None, 11
Mask, ∑ Total, 12
Mask, Lavender Mask, 5
Mask, Salmon Mask, 6
Mask, Hodl Mask, 1
Collar, ∑ Total, 4
Collar, Dogecoin Crypto Collar, 2
Collar, Bitcoin Crypto Collar, 1
Collar, Ethereum Crypto Collar, 1
