type, name, count
Attribute Count, ∑ Total, 195
Attribute Count, 3, 15
Attribute Count, 5, 61
Attribute Count, 2, 4
Attribute Count, 4, 41
Attribute Count, 6, 46
Attribute Count, 7, 16
Attribute Count, 8, 10
Attribute Count, 9, 2
Type, ∑ Total, 194
Type, Male, 146
Type, Female, 48
Accessory, ∑ Total, 1008
Accessory, Black Hair, 81
Accessory, Foxy Smile, 11
Accessory, Bow Tie, 25
Accessory, Gangster Shades, 59
Accessory, Thin Mustache, 24
Accessory, Goatee, 5
Accessory, Black Shirt, 28
Accessory, Smile, 21
Accessory, White Gangster Hat, 25
Accessory, Black Gangster Hat, 22
Accessory, White Shirt, 21
Accessory, White Hair, 45
Accessory, Extended Goatee Beard, 17
Accessory, Elegant Beard, 27
Accessory, Suit & Tie, 41
Accessory, No Hair, 31
Accessory, Cigar, 39
Accessory, Scar, 43
Accessory, Elegant Bear, 2
Accessory, Frown, 31
Accessory, Extended Goatee Balbo, 25
Accessory, Weapon, 45
Accessory, Red Gangster Hat, 12
Accessory, Brown Hair, 17
Accessory, Charleston Headband, 18
Accessory, Earring, 32
Accessory, Little Black Dress, 5
Accessory, Blond Hair, 21
Accessory, Pearl Necklace, 10
Accessory, Brown Gangster Shades, 12
Accessory, Black Turtleneck, 19
Accessory, Cigarette, 22
Accessory, Cigarette Holder, 9
Accessory, Gold Necklace, 5
Accessory, Blue Eyes, 6
Accessory, Red Turtleneck, 8
Accessory, Red Shirt, 6
Accessory, Gold Frame Glasses, 8
Accessory, Tobacco Pipe, 9
Accessory, Bandit Bandana, 10
Accessory, Flat Cap, 15
Accessory, Country Suit, 11
Accessory, Monocle Glasses, 6
Accessory, Red Coral Necklace, 3
Accessory, No Eyebrow, 3
Accessory, Feather Boa, 14
Accessory, Little Green Dress, 2
Accessory, White Turtleneck, 1
Accessory, Gold Earring, 3
Accessory, Gold Weapon, 5
Accessory, Silver Necklace, 1
Accessory, Grin With Clenched Teeth, 6
Accessory, Eye Patch, 6
Accessory, Gold Tooth, 3
Accessory, Voodoo Face Makeup, 1
Accessory, Knitted Cap, 9
Accessory, Sniper Rifle, 3
Accessory, Bandit Eye Mask, 3
Accessory, Green Eyes, 3
Accessory, Black Head Bandana, 6
Accessory, Gray Turtleneck, 3
Accessory, Long Goatee Beard, 3
Accessory, Red Head Bandana, 1
